Aircraft,Manufacturer,Country,Generation,Role,First_Flight,In_Service,Max_Speed_kmh,Supercruise_kmh,Service_Ceiling_m,Combat_Radius_km,Ferry_Range_km,Empty_Weight_kg,MTOW_kg,Hardpoints,Max_Weapon_Load_kg,Radar_Type,Radar_Model,RCS_m2,Engine_Count,Engine_Model,Thrust_per_Engine_kN,Supercruise_Capable,Thrust_Vectoring,Internal_Weapons_Bay,Units_Produced,Unit_Cost_M_USD,Status,Internal_Fuel_kg,Fuel_Consumption_Cruise_kg_h,Number_of_Operators,Cruise_Speed_kmh,Cost_per_Flight_Hour_USD,Radar_Score,Missile_Score,EW_Score,Combat_Kills,Combat_Losses_AirToAir,Combat_Record_Status,Kill_Loss_Ratio,Combat_Kills_A2A,Combat_Losses_A2A,Combat_Status,Kill_Ratio,Combat_Sorties_Estimated
F-22A Raptor,Lockheed Martin,USA,5,Air Superiority,1997,2005,2130,1810,15000,759,3330,19700,38000,12,5000,AESA,AN/APG-77,0.0001,2,Pratt & Whitney F119-PW-100,156,Yes,Yes,Yes,195,150,Operational,8200,4100,1,1060,70000,0.9,0.9,0.95,0,0,Limited,0.0,0,0,Limited,,2500
F-35A Lightning II,Lockheed Martin,USA,5,Multirole,2006,2016,1960,0,15240,1093,2800,13170,31800,10,10000,AESA,AN/APG-81,0.005,1,Pratt & Whitney F135-PW-100,191,No,No,Yes,1000,82,Operational,8278,2800,20,1050,42000,0.95,0.9,1.0,0,0,Limited,0.0,0,0,Limited,1.0,8000
Su-57 Felon,Sukhoi,Russia,5,Multirole,2010,2020,2135,1400,20000,1500,3500,18000,35000,12,7400,AESA,Sh121 MIRES,0.3,2,Saturn AL-41F1,147,Yes,Yes,Yes,32,42,Operational,10300,3500,1,1100,35000,0.95,0.9,0.75,1,0,,0.0,0,0,Limited,,500
F-15C Eagle,Boeing,USA,4,Air Superiority,1972,1976,2655,0,20000,1967,5745,12700,30845,9,10700,Mechanically Scanned,AN/APG-63,10.0,2,Pratt & Whitney F100-PW-220,105,No,No,No,1198,30,Operational,6103,4000,6,950,30000,0.3,0.75,0.35,104,0,Extensive,104.0,104,0,Extensive,104.0,50000
F-15EX Eagle II,Boeing,USA,4.5,Multirole,2021,2024,2655,0,20000,1967,5745,14300,36741,9,13000,AESA,AN/APG-82,3.0,2,General Electric F110-GE-129,131,No,No,No,104,88,Operational,6103,3800,1,950,29000,0.85,0.9,0.7,0,0,,0.0,0,0,None,,0
F-16C Fighting Falcon,Lockheed Martin,USA,4,Multirole,1974,1978,2120,0,15240,550,4220,8570,21772,9,7700,Mechanically Scanned,AN/APG-68,5.0,1,General Electric F110-GE-100,129,No,No,No,4604,35,Operational,3175,2500,25,900,22000,0.25,0.75,0.4,76,5,Extensive,76.0,76,1,Extensive,38.0,200000
F/A-18E Super Hornet,Boeing,USA,4.5,Multirole,1995,2001,1915,0,15240,722,3330,14552,29937,11,8050,AESA,AN/APG-79,1.0,2,General Electric F414-GE-400,98,No,No,No,608,67,Operational,6531,2900,3,880,28000,0.8,0.9,0.65,1,0,Limited,1.0,1,0,Extensive,1.0,30000
Su-35S Flanker-E,Sukhoi,Russia,4++,Air Superiority,2008,2014,2500,0,18000,1600,4500,18400,34500,12,8000,PESA,Irbis-E N035,3.0,2,Saturn AL-41F1S,142,No,Yes,No,172,50,Operational,11500,3800,5,980,18000,0.5,0.9,0.5,0,1,Limited,0.0,0,0,Limited,,3000
Su-27 Flanker,Sukhoi,Russia,4,Air Superiority,1977,1985,2500,0,18500,1500,3900,16380,33000,10,6000,Mechanically Scanned,N001 Myech,15.0,2,Saturn AL-31F,123,No,No,No,680,30,Operational,9400,3600,10,950,14000,0.2,0.6,0.2,6,10,Limited,0.5,6,10,Extensive,1.5,15000
MiG-29 Fulcrum,Mikoyan,Russia,4,Air Superiority,1977,1983,2400,0,18000,710,2100,11000,21000,7,4000,Mechanically Scanned,N019 Rubin,5.0,2,Klimov RD-33,81,No,No,No,1600,25,Operational,3500,3200,29,900,11000,0.15,0.6,0.15,5,27,Extensive,0.1818181818181818,4,24,Extensive,0.1666666666666666,20000
MiG-31 Foxhound,Mikoyan,Russia,4,Interceptor,1975,1981,3000,0,20600,720,3300,21825,46200,4,3000,PESA,Zaslon S-800,15.0,2,Soloviev D-30F6,152,No,No,No,519,50,Operational,16350,7500,2,950,24000,0.85,0.87,0.45,0,0,,1.0,1,0,Limited,,2000
J-20 Mighty Dragon,Chengdu,China,5,Air Superiority,2011,2017,2100,0,20000,1100,5500,17000,37000,8,7500,AESA,Type 1475 KLJ-5,0.01,2,WS-15,180,Yes,Yes,Yes,250,110,Operational,11000,3400,1,1050,40000,0.7,0.85,0.65,0,0,,0.0,0,0,None,,0
J-10C Vigorous Dragon,Chengdu,China,4.5,Multirole,1998,2018,2200,0,18000,550,2950,9250,19277,11,6000,AESA,KLJ-7A,3.0,1,Saturn AL-31FN,130,No,No,No,600,40,Operational,3400,2600,2,900,12000,0.6,0.85,0.45,0,0,Limited,3.0,3,0,Limited,,500
JF-17 Block 3 Thunder,CAC/PAC,China/Pakistan,4.5,Multirole,2003,2007,1960,0,16920,1352,3482,6586,12700,7,3800,AESA,KLJ-7A,3.0,1,Klimov RD-93,84,No,No,No,175,32,Operational,2330,1800,3,880,8000,0.6,0.85,0.35,1,0,Limited,2.0,2,0,Limited,3.0,2000
Eurofighter Typhoon,Eurofighter,Europe,4.5,Multirole,1994,2003,2495,1530,19812,1389,3790,11000,23500,13,7500,AESA,Captor-E,1.0,2,Eurojet EJ200,90,Yes,No,No,680,110,Operational,5000,2900,9,1000,40000,0.7,0.9,0.7,0,0,,0.0,0,0,Limited,,5000
Dassault Rafale,Dassault,France,4.5,Multirole,1986,2001,1912,0,15835,1850,3700,10300,24500,14,9500,AESA,RBE2 AA,1.0,2,Snecma M88-2,75,No,No,No,234,95,Operational,4700,2400,7,980,35000,0.7,0.9,0.75,0,1,Limited,0.0,0,0,Extensive,0.0,8000
Saab JAS 39E Gripen,Saab,Sweden,4.5,Multirole,1988,2024,2205,1200,15240,800,4070,7100,16500,10,5300,AESA,Raven ES-05,1.0,1,General Electric F414-GE-39E,98,Yes,No,No,36,85,Operational,3400,1800,2,950,9000,0.65,0.9,0.65,0,0,,0.0,0,0,None,,0
HAL Tejas Mk1A,HAL,India,4,Multirole,2001,2016,1960,0,15240,300,1850,6560,13500,8,4000,AESA,EL/M-2052,3.0,1,General Electric F404-GE-IN20,84,No,No,No,40,42,Operational,2458,2200,1,880,8500,0.6,0.55,0.4,0,0,,0.0,0,0,None,,0
KF-21 Boramae,KAI,South Korea,4.5,Multirole,2022,2026,1960,0,16764,740,2900,11800,25600,10,7700,AESA,AN/APG-81,0.5,2,General Electric F414-GE-400,98,No,No,No,6,72,Development,5432,2700,1,950,20000,0.8,0.75,0.5,0,0,,0.0,0,0,None,,0
F-15E Strike Eagle,Boeing,USA,4,Multirole,1986,1989,2655,0,18200,1270,3900,14300,36741,9,11100,AESA,AN/APG-82,10.0,2,Pratt & Whitney F100-PW-229,129,No,No,No,236,100,Operational,6103,4200,5,950,32000,0.85,0.9,0.35,2,2,Extensive,2.0,2,0,Extensive,2.0,60000
Panavia Tornado ADV,Panavia,Europe,4,Interceptor,1979,1986,2340,0,15240,1853,3890,14500,27986,8,5000,Mechanically Scanned,Foxhunter AI.24,10.0,2,Turbo-Union RB199,73,No,No,No,218,38,Retired,5500,3400,3,920,26000,0.2,0.7,0.25,0,0,Limited,0.0,0,0,Limited,,15000
F-14D Tomcat,Grumman,USA,4,Air Superiority,1970,1974,2485,0,16150,926,3220,18190,33720,10,6577,Mechanically Scanned,AN/AWG-9,8.0,2,General Electric F110-GE-400,124,No,No,No,712,38,Retired,7348,4100,1,950,31000,0.3,0.5,0.25,5,0,Extensive,5.0,5,0,Extensive,1.6666666666666667,15000
Mirage 2000-5,Dassault,France,4,Multirole,1978,1988,2340,0,17060,1550,3335,7500,17460,9,6300,Mechanically Scanned,RDY-2,5.0,1,SNECMA M53-P2,95,No,No,No,601,23,Operational,3160,2500,9,920,16000,0.25,0.6,0.35,3,1,Limited,2.0,2,0,Extensive,3.0,10000
Su-30MKI Flanker-H,Sukhoi,Russia/India,4.5,Multirole,1996,2002,2120,0,17300,1500,3000,18800,34500,12,8000,PESA,Bars N011M,5.0,2,Saturn AL-31FP,123,No,Yes,No,272,60,Operational,9640,3700,4,950,18000,0.4,0.6,0.4,0,1,Limited,0.0,0,0,Limited,0.0,3000
F-2A Viper Zero,Mitsubishi,Japan,4,Multirole,1995,2000,2124,0,15240,834,4000,9527,22100,13,8085,AESA,J/APG-2,3.0,1,General Electric F110-GE-129,131,No,No,No,94,100,Operational,3602,2600,1,900,25000,0.65,0.75,0.4,0,0,,0.0,0,0,None,,0
Saab JAS 39C Gripen,Saab,Sweden,4+,Multirole,1988,1997,2205,1200,15240,800,3200,6620,14000,8,4500,Mechanically Scanned,PS-05/A Mk4,1.5,1,Volvo RM12,80,Yes,No,No,143,60,Operational,2400,1700,6,930,7000,0.25,0.75,0.45,0,0,,0.0,0,0,None,,0
J-16 Flanker,Shenyang,China,4.5,Multirole,2011,2015,2400,0,17300,1500,3900,17500,35000,12,12000,AESA,Type 1475,3.0,2,WS-10B,132,No,No,No,300,50,Operational,10000,3700,1,950,16000,0.65,0.85,0.5,0,0,,0.0,0,0,None,,0
MiG-35 Fulcrum-F,Mikoyan,Russia,4++,Multirole,2007,2019,2400,0,17500,1000,3100,11000,23500,9,6500,AESA,Zhuk-AE,2.0,2,Klimov RD-33MK,88,No,No,No,6,45,Operational,4800,3000,1,920,13000,0.55,0.9,0.45,0,0,,0.0,0,0,None,,0
F-16V Block 70/72,Lockheed Martin,USA,4.5,Multirole,2015,2024,2120,0,15240,550,4220,8570,21772,9,7700,AESA,AN/APG-83 SABR,1.0,1,General Electric F110-GE-129,131,No,No,No,128,63,Operational,3175,2500,8,900,25000,0.7,0.9,0.55,0,0,Limited,0.0,0,0,None,,0
F/A-18F Block III,Boeing,USA,4.5,Multirole,2020,2022,1915,0,15240,830,3700,14552,29937,11,8050,AESA,AN/APG-79,0.5,2,General Electric F414-GE-400,98,No,No,No,78,67,Operational,6780,2900,2,880,28000,0.82,0.9,0.7,0,0,,0.0,0,0,Limited,,2000
Su-30SM2,Sukhoi,Russia,4++,Multirole,2020,2022,2120,0,17300,1500,3000,18800,34500,12,8000,PESA,Bars N011M upgraded,4.0,2,Saturn AL-41F1S,142,No,Yes,No,30,50,Operational,9640,3600,1,950,19000,0.48,0.9,0.5,0,0,,0.0,0,0,Limited,,2000
Rafale F4,Dassault,France,4.5,Multirole,2023,2024,1912,0,15835,1850,3700,10300,24500,14,9500,AESA,RBE2 AA F4,0.8,2,Snecma M88-4E,77,No,No,No,42,105,Operational,4700,2400,3,980,38000,0.75,0.9,0.8,0,0,,0.0,0,0,None,,0
J-10CE,Chengdu,China,4.5,Multirole,2020,2022,2200,0,18000,550,2950,9250,19277,11,6000,AESA,KLJ-7A export,2.5,1,Saturn AL-31FN Series 3,137,No,No,No,36,45,Operational,3400,2600,2,900,13000,0.58,0.85,0.48,0,0,Limited,3.0,3,0,None,3.0,0
F-15SA,Boeing,USA/Saudi Arabia,4.5,Multirole,2013,2017,2655,0,20000,1967,5745,14300,36741,9,13000,AESA,AN/APG-63(V)3,3.0,2,General Electric F110-GE-129,131,No,No,No,84,100,Operational,6103,3800,1,950,30000,0.8,0.9,0.6,0,0,,0.0,0,0,Limited,,3000
Mirage F1,Dassault,France,3,Multirole,1966,1973,2338,0,20000,425,3300,7400,16200,7,6300,Mechanically Scanned,Thomson-CSF Cyrano IV,3.0,1,SNECMA Atar 9K-50,70.6,No,No,No,726,6,Operational,3300,2200,2,900,11000,0.15,0.45,0.15,35,30,Extensive,1.17,35,30,Extensive,1.17,25000
Sea Harrier FA.2,British Aerospace,UK,3,Multirole,1988,1993,1185,0,16000,740,3220,6616,11884,7,3630,Pulse-Doppler,Ferranti Blue Vixen,4.0,1,Rolls-Royce Pegasus 106,96,No,Yes,No,57,28,Retired,2351,1500,0,850,14000,0.45,0.75,0.25,23,0,Extensive,23.0,23,0,Extensive,23.0,4000
JA 37 Viggen,Saab,Sweden,3,Multirole,1977,1980,2231,0,18000,500,1820,9500,19274,9,7000,Pulse-Doppler,Ericsson PS-46/A,3.0,1,Volvo RM8B,125,No,No,No,149,18,Retired,5500,2500,0,900,16000,0.4,0.7,0.3,0,0,None,0.0,0,0,None,,0
F-4E Phantom II,McDonnell Douglas,USA,3,Multirole,1967,1967,2370,0,18000,680,2699,13757,28030,9,8480,Mechanically Scanned,AN/APQ-120,12.0,2,General Electric J79-GE-17A,79.38,No,No,No,1370,2.4,Operational,5879,4500,1,940,25000,0.2,0.5,0.25,280,75,Extensive,3.73,280,75,Extensive,3.73,500000
MiG-23MLD Flogger,Mikoyan,Russia,3,Air Superiority,1984,1984,2500,0,18500,1450,2360,10200,17800,6,2000,Pulse-Doppler,Sapfir-23ML,7.0,1,Khachaturov R-35-300,127.49,No,No,No,1450,5,Operational,3400,3000,4,950,14000,0.25,0.5,0.2,18,60,Extensive,0.3,18,60,Extensive,0.3,30000
MiG-25PD Foxbat,Mikoyan,Russia,3,Interceptor,1969,1979,3000,0,20700,930,2575,20000,36720,4,2000,Pulse-Doppler,RP-25M Sapfir-25,20.0,2,Tumansky R-15B-300,100.1,No,No,No,1186,7,Retired,14000,6000,1,950,30000,0.25,0.4,0.2,3,7,Limited,0.43,3,7,Limited,0.43,5000
Su-17M4 Fitter-K,Sukhoi,Russia,3,Multirole,1980,1981,1860,0,14200,1150,2300,12160,19500,10,4000,Laser/Optical,Klyon-PS LRMTS,5.0,1,Lyulka AL-21F-3,109.8,No,No,No,2867,6,Operational,3000,2500,3,770,10000,0.05,0.4,0.15,0,6,Extensive,0.0,0,6,Extensive,0.0,50000
F-105D Thunderchief,Republic Aviation,USA,3,Multirole,1959,1960,2240,0,14800,1252,3550,12181,23967,5,6400,Mechanically Scanned,NASARR R-14A,12.0,1,Pratt & Whitney J75-P-19W,117.88,No,No,Yes,833,2.14,Retired,3500,3500,0,880,25000,0.2,0.4,0.2,27.5,22,Extensive,1.25,27.5,22,Extensive,1.25,75000
MiG-21bis Fishbed,Mikoyan,Russia,3,Air Superiority,1971,1972,2175,0,17500,370,1210,5350,10400,5,2000,Mechanically Scanned,RP-22 Sapfir-21 (Jay Bird),3.0,1,Tumansky R-25-300,69.58,No,No,No,11496,3,Operational,2300,2000,5,900,7000,0.15,0.4,0.15,180,200,Extensive,0.9,180,200,Extensive,0.9,500000
F-106A Delta Dart,Convair,USA,3,Interceptor,1956,1959,2454,0,17000,2472,4345,11077,17545,4,1800,Mechanically Scanned,Hughes MA-1 AWCS,5.0,1,Pratt & Whitney J75-P-17,109,No,No,Yes,342,4.7,Retired,5000,3000,0,980,15000,0.3,0.4,0.15,0,0,None,,0,0,None,,0
Mirage IIIE,Dassault,France,3,Multirole,1961,1964,2350,0,17000,1200,3335,7500,13700,5,4000,Mechanically Scanned,Thomson-CSF Cyrano II,3.0,1,SNECMA Atar 09C,60.8,No,No,No,1422,3.5,Retired,3000,2200,0,960,10000,0.15,0.4,0.15,90,25,Extensive,3.6,90,25,Extensive,3.6,30000
F-100D Super Sabre,North American,USA,2,Multirole,1956,1957,1390,0,15000,860,3210,9000,15800,6,3190,Ranging Only,AN/APG-29,10.0,1,Pratt & Whitney J57-P-21,71,No,No,No,1274,1.2,Retired,3500,3000,0,900,15000,0.05,0.3,0.1,0,0,Extensive,,0,0,Extensive,,360000
F-102A Delta Dagger,Convair,USA,2,Interceptor,1953,1956,1328,0,16300,1085,2170,8777,14288,6,1500,Mechanically Scanned,Hughes MG-10,5.0,1,Pratt & Whitney J57-P-25,76,No,No,Yes,1000,1.2,Retired,3300,2500,0,900,12000,0.2,0.3,0.1,0,1,Limited,0.0,0,1,Limited,0.0,14000
J-35 Blue Shark,Shenyang,China,5,Multirole,2021,2024,2204,1482,16000,1250,3000,13000,28000,12,8000,AESA,KLJ-7A,0.1,2,Guizhou WS-19,96,Yes,No,Yes,57,60,Operational,7500,4000,1,1040,25000,0.9,0.9,0.9,0,0,None,,0,0,None,,0